age,risk
40,1.307189542
41,1.633986928
42,1.973599898
43,2.178649237
44,2.550301166
45,2.851467385
46,2.941176471
47,3.267973856
48,3.376906318
49,3.703703704
50,3.921568627
51,4.248366013
52,4.684095861
53,5.119825708
54,5.446623094
55,5.773420479
56,6.318082789
57,6.753812636
58,7.189542484
59,7.625272331
60,8.351488743
61,8.71459695
62,9.259259259
63,9.694989107
64,10.23057371
65,10.78431373
66,11.25635439
67,11.76470588
68,12.20043573
69,12.72694263
70,13.39869281
71,13.83442266
72,14.12277329
73,14.70588235
74,15.03267974
75,15.57734205
76,15.93137255
77,16.33986928
78,16.78550208
79,17.30045554
80,17.75599129
